Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
B2900,2022,Agglomération de Brest,,,,,,66,75,88,104,130,85,330,400,480,595,768,515,61,4997,27097,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Maison 1-3P,,,,,,,,,,,,,,30,,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Ensemble 4P+,60,66,74,83,91,75,485,545,676,802,910,696,93,999,7205,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Maison 4P+,63,70,81,87,94,78,600,730,789,881,960,794,102,253,3011,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Appart 1P,96,112,130,164,194,130,280,300,325,365,395,334,26,971,3713,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Appart 2P,76,84,96,108,127,94,330,380,420,461,490,419,44,1654,8722,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Appart 3P,67,72,82,91,99,82,421,470,530,590,635,530,65,1343,6820,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Appart 4P+,58,66,72,79,88,72,439,513,575,680,840,621,87,746,4195,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Ensemble 1P,96,111,130,164,194,130,280,300,325,365,396,334,26,972,3743,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Ensemble 2P,76,84,96,108,127,95,330,380,420,464,499,422,45,1659,8891,Estimation directe
B2900,2022,Agglomération de Brest,,,,,Ensemble 3P,67,73,82,92,99,82,422,471,530,600,651,537,65,1367,7257,Estimation directe
B2900,2022,Agglomération de Brest,,,,1. Moins de 1 an,,71,82,94,115,140,92,325,395,480,620,780,518,56,1601,,Estimation directe
B2900,2022,Agglomération de Brest,,,,1. Moins de 1 an,Ensemble 4P+,61,69,79,88,94,79,500,590,740,860,960,729,93,288,,Estimation directe
B2900,2022,Agglomération de Brest,,,,1. Moins de 1 an,Ensemble 1P,104,115,130,181,198,136,296,320,330,375,400,343,25,403,,Estimation directe
B2900,2022,Agglomération de Brest,,,,1. Moins de 1 an,Ensemble 2P,82,90,100,116,130,101,330,400,428,475,500,436,43,497,,Estimation directe
B2900,2022,Agglomération de Brest,,,,1. Moins de 1 an,Ensemble 3P,72,76,91,98,109,88,470,500,580,620,675,573,65,413,,Estimation directe
B2900,2022,Agglomération de Brest,,,,2. 1 an et plus,,64,72,84,97,117,81,330,400,480,575,760,513,63,3396,,Estimation directe
B2900,2022,Agglomération de Brest,,,,2. 1 an et plus,Ensemble 4P+,57,65,73,81,90,73,475,533,628,782,902,681,94,711,,Estimation directe
B2900,2022,Agglomération de Brest,,,,2. 1 an et plus,Ensemble 1P,92,106,128,150,167,122,268,295,310,349,379,320,26,569,,Estimation directe
B2900,2022,Agglomération de Brest,,,,2. 1 an et plus,Ensemble 2P,72,81,93,105,120,92,333,371,418,460,490,415,45,1162,,Estimation directe
B2900,2022,Agglomération de Brest,,,,2. 1 an et plus,Ensemble 3P,65,70,80,89,95,79,409,450,511,563,630,515,65,954,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,,,66,75,90,120,147,88,300,357,403,530,710,458,52,607,2295,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,,Ensemble 4P+,52,62,72,78,82,68,525,545,697,750,840,656,96,69,497,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,,Ensemble 1P,86,112,138,179,206,134,275,300,318,360,395,324,24,206,373,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,,Ensemble 2P,69,80,97,127,131,94,328,360,400,435,520,411,44,227,913,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,,Ensemble 3P,68,70,87,97,115,87,400,426,503,620,630,515,59,105,512,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,1. Moins de 1 an,,75,90,111,130,192,104,315,355,400,555,630,454,44,216,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,1. Moins de 1 an,Maison 1-3P,,,,,,,,,,,,,,2,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,1. Moins de 1 an,Maison 4P+,,,,,,,,,,,,,,5,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,1. Moins de 1 an,Appart 1P,86,110,144,198,219,140,275,300,330,390,395,342,24,87,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,1. Moins de 1 an,Appart 2P,83,93,111,130,138,109,330,390,400,445,480,408,37,77,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,1. Moins de 1 an,Appart 3P,,,,,,,,,,,,,,36,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,1. Moins de 1 an,Appart 4P+,,,,,,,,,,,,,,9,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,2. 1 an et plus,,63,71,80,106,133,80,300,357,420,530,725,461,58,391,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,2. 1 an et plus,Maison 1-3P,,,,,,,,,,,,,,4,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,2. 1 an et plus,Maison 4P+,,,,,,,,,,,,,,19,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,2. 1 an et plus,Appart 1P,71,115,134,163,176,126,213,280,300,324,353,300,24,119,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,2. 1 an et plus,Appart 2P,63,76,84,109,131,86,325,350,395,425,520,393,46,147,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,2. 1 an et plus,Appart 3P,67,70,75,84,95,78,370,426,440,475,590,457,59,66,,Estimation directe
B2900,2022,Agglomération de Brest,,,1. Avant 1946,2. 1 an et plus,Appart 4P+,,,,,,,,,,,,,,36,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,,,66,73,83,96,113,82,353,420,480,570,675,511,62,2128,9191,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,,Ensemble 4P+,60,66,73,79,90,73,430,498,590,688,950,641,87,500,2420,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,,Ensemble 1P,91,106,124,143,174,123,280,320,340,395,428,348,28,301,1001,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,,Ensemble 2P,78,86,93,105,117,94,320,380,430,470,500,424,45,595,2799,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,,Ensemble 3P,66,72,80,91,99,80,418,460,500,580,675,521,65,732,2972,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,1. Moins de 1 an,,69,76,92,103,122,88,345,430,500,600,715,519,59,688,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,1. Moins de 1 an,Maison 4P+,,,,,,,,,,,,,,17,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,1. Moins de 1 an,Appart 1P,89,106,126,167,208,131,320,330,350,400,430,363,28,119,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,1. Moins de 1 an,Appart 2P,82,91,96,116,122,99,325,400,450,490,500,433,44,183,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,1. Moins de 1 an,Appart 3P,72,76,90,98,102,87,470,500,582,660,700,581,67,234,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,1. Moins de 1 an,Appart 4P+,61,65,69,80,89,73,430,460,550,695,830,599,82,135,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,2. 1 an et plus,,63,71,79,92,105,79,359,410,470,541,635,505,64,1440,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,2. 1 an et plus,Maison 1-3P,,,,,,,,,,,,,,7,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,2. 1 an et plus,Maison 4P+,,,,,,,,,,,,,,29,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,2. 1 an et plus,Appart 1P,93,100,106,136,145,112,260,280,330,366,382,327,29,181,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,2. 1 an et plus,Appart 2P,72,82,93,100,116,91,320,380,420,466,490,418,46,411,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,2. 1 an et plus,Appart 3P,61,69,77,84,91,75,395,431,480,520,555,478,63,493,,Estimation directe
B2900,2022,Agglomération de Brest,,,2. Entre 1946-1970,2. 1 an et plus,Appart 4P+,57,66,73,79,87,72,408,495,560,635,1016,625,87,319,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,,,62,71,79,91,117,77,340,405,480,550,645,489,63,753,7737,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,,Ensemble 4P+,49,62,70,76,80,67,498,510,575,640,789,603,90,198,2242,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,,Ensemble 1P,92,108,118,150,157,120,300,325,340,370,425,352,29,161,1167,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,,Ensemble 2P,75,81,89,93,108,89,370,400,420,450,480,422,47,235,2407,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,,Ensemble 3P,63,69,74,78,85,73,433,467,500,549,620,509,70,159,1921,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,1. Moins de 1 an,,71,75,83,103,117,83,350,400,483,575,745,504,61,209,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,1. Moins de 1 an,Maison 4P+,,,,,,,,,,,,,,11,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,1. Moins de 1 an,Appart 1P,108,108,117,131,135,118,325,325,350,365,400,355,30,60,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,1. Moins de 1 an,Appart 2P,75,88,89,98,108,90,400,405,420,450,490,431,48,66,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,1. Moins de 1 an,Appart 3P,,,,,,,,,,,,,,32,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,1. Moins de 1 an,Appart 4P+,,,,,,,,,,,,,,40,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,2. 1 an et plus,,57,66,76,90,119,74,340,405,470,540,609,480,64,544,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,2. 1 an et plus,Maison 1-3P,,,,,,,,,,,,,,4,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,2. 1 an et plus,Maison 4P+,,,,,,,,,,,,,,24,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,2. 1 an et plus,Appart 1P,85,105,128,150,189,122,300,311,340,370,450,349,29,101,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,2. 1 an et plus,Appart 2P,76,80,89,90,107,89,354,400,406,450,477,416,47,169,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,2. 1 an et plus,Appart 3P,58,64,73,80,88,73,416,450,490,540,563,493,68,123,,Estimation directe
B2900,2022,Agglomération de Brest,,,3. Entre 1971-1990,2. 1 an et plus,Appart 4P+,53,61,66,71,73,66,448,498,539,595,680,565,86,123,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,,,70,82,98,127,153,91,300,342,450,630,834,509,56,524,4172,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,,Ensemble 4P+,64,65,76,91,94,78,680,770,834,900,960,824,106,69,924,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,,Ensemble 1P,117,124,140,181,194,141,280,300,325,350,350,321,23,230,969,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,,Ensemble 2P,88,98,102,114,137,103,342,342,420,460,490,415,40,155,1467,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,,Ensemble 3P,66,70,82,87,97,80,530,530,555,630,760,585,73,70,811,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,1. Moins de 1 an,,91,99,124,181,184,111,300,325,350,508,960,458,41,180,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,1. Moins de 1 an,Maison 1-3P,,,,,,,,,,,,,,3,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,1. Moins de 1 an,Maison 4P+,,,,,,,,,,,,,,11,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,1. Moins de 1 an,Appart 1P,120,125,140,181,194,147,300,300,325,350,350,327,22,105,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,1. Moins de 1 an,Appart 2P,,,,,,,,,,,,,,39,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,1. Moins de 1 an,Appart 3P,,,,,,,,,,,,,,15,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,1. Moins de 1 an,Appart 4P+,,,,,,,,,,,,,,7,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,2. 1 an et plus,,66,76,91,108,134,85,327,394,490,680,794,533,62,344,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,2. 1 an et plus,Maison 1-3P,,,,,,,,,,,,,,3,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,2. 1 an et plus,Maison 4P+,,,,,,,,,,,,,,33,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,2. 1 an et plus,Appart 1P,107,123,134,140,154,129,279,280,295,327,367,308,24,125,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,2. 1 an et plus,Appart 2P,88,98,102,114,137,103,342,342,420,460,490,415,40,115,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,2. 1 an et plus,Appart 3P,66,70,82,82,94,78,530,530,553,601,630,563,73,50,,Estimation directe
B2900,2022,Agglomération de Brest,,,4. Entre 1991-2005,2. 1 an et plus,Appart 4P+,,,,,,,,,,,,,,18,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,,,78,85,91,98,106,89,410,488,593,780,890,633,71,985,3701,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,,Ensemble 4P+,71,82,86,89,100,84,697,750,802,890,960,825,98,163,1122,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,,Ensemble 1P,98,105,117,119,133,113,299,331,370,370,428,360,32,74,233,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,,Ensemble 2P,82,91,100,106,112,97,391,410,450,475,500,444,46,447,1305,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,,Ensemble 3P,84,89,91,95,98,91,516,560,580,618,635,586,65,301,1040,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,1. Moins de 1 an,,82,83,91,98,107,89,450,580,625,802,890,672,76,308,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,1. Moins de 1 an,Maison 1-3P,,,,,,,,,,,,,,1,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,1. Moins de 1 an,Maison 4P+,,,,,,,,,,,,,,33,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,1. Moins de 1 an,Appart 1P,,,,,,,,,,,,,,32,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,1. Moins de 1 an,Appart 2P,92,100,106,110,124,105,400,430,455,475,500,450,43,130,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,1. Moins de 1 an,Appart 3P,84,88,91,95,98,91,564,580,580,620,635,594,66,92,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,1. Moins de 1 an,Appart 4P+,,,,,,,,,,,,,,20,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,2. 1 an et plus,,77,86,91,97,106,89,406,460,572,768,900,611,69,677,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,2. 1 an et plus,Maison 1-3P,,,,,,,,,,,,,,6,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,2. 1 an et plus,Maison 4P+,71,78,86,87,91,82,731,780,845,900,960,849,103,71,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,2. 1 an et plus,Appart 1P,,,,,,,,,,,,,,42,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,2. 1 an et plus,Appart 2P,82,91,97,103,110,95,387,410,450,475,500,443,47,317,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,2. 1 an et plus,Appart 3P,85,89,91,92,96,90,490,543,566,590,611,560,62,202,,Estimation directe
B2900,2022,Agglomération de Brest,,,5. Après 2005,2. 1 an et plus,Appart 4P+,,,,,,,,,,,,,,39,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,,,,63,72,82,90,97,79,600,680,780,875,960,778,98,283,3647,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,,,Maison 1-3P,,,,,,,,,,,,,,30,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,,,Maison 4P+,63,70,81,87,94,78,600,730,789,881,960,794,102,253,3011,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,,1. Moins de 1 an,,61,74,83,91,104,82,625,740,800,880,960,813,99,83,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,,1. Moins de 1 an,Maison 1-3P,,,,,,,,,,,,,,6,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,,1. Moins de 1 an,Maison 4P+,61,74,83,91,99,81,625,740,800,880,960,817,101,77,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,,2. 1 an et plus,,64,71,81,87,95,77,566,659,760,848,900,758,98,200,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,,2. 1 an et plus,Maison 1-3P,,,,,,,,,,,,,,24,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,,2. 1 an et plus,Maison 4P+,63,68,77,86,91,76,566,720,780,900,950,779,103,176,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,1. Avant 1946,,,,,,,,,,,,,,,,30,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,1. Avant 1946,,Maison 1-3P,,,,,,,,,,,,,,6,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,1. Avant 1946,,Maison 4P+,,,,,,,,,,,,,,24,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,1. Avant 1946,1. Moins de 1 an,,,,,,,,,,,,,,,7,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,1. Avant 1946,2. 1 an et plus,,,,,,,,,,,,,,,23,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,2. Entre 1946-1970,,,61,67,76,96,99,79,515,600,728,800,950,740,93,53,763,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,2. Entre 1946-1970,,Maison 1-3P,,,,,,,,,,,,,,7,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,2. Entre 1946-1970,,Maison 4P+,,,,,,,,,,,,,,46,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,2. Entre 1946-1970,1. Moins de 1 an,,,,,,,,,,,,,,,17,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,2. Entre 1946-1970,2. 1 an et plus,,,,,,,,,,,,,,,36,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,3. Entre 1971-1990,,,,,,,,,,,,,,,,39,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,3. Entre 1971-1990,,Maison 1-3P,,,,,,,,,,,,,,4,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,3. Entre 1971-1990,,Maison 4P+,,,,,,,,,,,,,,35,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,3. Entre 1971-1990,1. Moins de 1 an,,,,,,,,,,,,,,,11,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,3. Entre 1971-1990,2. 1 an et plus,,,,,,,,,,,,,,,28,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,4. Entre 1991-2005,,,64,65,76,91,91,78,680,760,823,900,960,827,106,50,652,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,4. Entre 1991-2005,,Maison 1-3P,,,,,,,,,,,,,,6,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,4. Entre 1991-2005,,Maison 4P+,,,,,,,,,,,,,,44,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,4. Entre 1991-2005,1. Moins de 1 an,,,,,,,,,,,,,,,14,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,4. Entre 1991-2005,2. 1 an et plus,,,,,,,,,,,,,,,36,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,5. Après 2005,,,71,82,86,89,97,84,625,750,802,890,960,820,97,111,990,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,5. Après 2005,,Maison 1-3P,,,,,,,,,,,,,,7,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,5. Après 2005,,Maison 4P+,68,82,86,88,94,83,730,780,845,900,960,842,101,104,867,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,5. Après 2005,1. Moins de 1 an,,,,,,,,,,,,,,,34,,Estimation directe
B2900,2022,Agglomération de Brest,,Maison,5. Après 2005,2. 1 an et plus,,71,81,86,89,97,84,630,731,800,900,960,810,97,77,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,,,67,75,90,106,131,86,325,390,454,540,630,474,55,4714,23450,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,,Appart 1P,96,112,130,164,194,130,280,300,325,365,395,334,26,971,3713,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,,Appart 2P,76,84,96,108,127,94,330,380,420,461,490,419,44,1654,8722,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,,Appart 3P,67,72,82,91,99,82,421,470,530,590,635,530,65,1343,6820,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,,Appart 4P+,58,66,72,79,88,72,439,513,575,680,840,621,87,746,4195,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,1. Moins de 1 an,,73,83,97,118,147,95,325,380,455,575,640,473,50,1518,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,1. Moins de 1 an,Appart 1P,104,115,130,181,198,136,296,320,330,375,400,343,25,403,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,1. Moins de 1 an,Appart 2P,82,89,100,116,130,100,330,398,420,470,500,426,42,495,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,1. Moins de 1 an,Appart 3P,72,76,91,98,109,88,470,500,580,620,675,573,65,409,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,1. Moins de 1 an,Appart 4P+,61,69,73,80,90,75,440,517,575,700,830,620,83,211,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,2. 1 an et plus,,64,72,84,99,120,82,325,395,454,530,606,474,58,3196,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,2. 1 an et plus,Appart 1P,92,106,128,150,167,122,268,295,310,348,379,320,26,568,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,2. 1 an et plus,Appart 2P,72,81,93,105,120,92,331,370,417,460,490,415,45,1159,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,2. 1 an et plus,Appart 3P,64,70,79,88,93,78,400,450,500,555,592,502,65,934,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,,2. 1 an et plus,Appart 4P+,56,64,72,78,87,71,436,513,566,673,854,622,88,535,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,1. Avant 1946,,,67,76,95,123,156,90,300,340,400,490,600,431,48,577,1848,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,1. Avant 1946,,Appart 1P,86,112,138,179,206,134,275,300,318,360,395,324,24,206,362,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,1. Avant 1946,,Appart 2P,68,80,93,127,131,93,328,360,400,425,480,398,43,224,871,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,1. Avant 1946,,Appart 3P,67,70,84,98,115,87,400,426,481,600,630,508,58,102,431,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,1. Avant 1946,,Appart 4P+,,,,,,,,,,,,,,45,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,1. Avant 1946,1. Moins de 1 an,,83,95,111,130,198,109,300,336,400,480,620,429,39,209,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,1. Avant 1946,2. 1 an et plus,,63,71,81,113,133,81,300,342,400,520,569,432,53,368,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,2. Entre 1946-1970,,,66,73,84,96,114,82,350,410,472,550,660,500,61,2075,8428,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,2. Entre 1946-1970,,Appart 1P,91,106,124,143,174,123,280,320,340,395,428,348,28,300,993,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,2. Entre 1946-1970,,Appart 2P,78,85,93,105,118,94,320,380,430,470,500,424,45,594,2723,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,2. Entre 1946-1970,,Appart 3P,66,72,80,91,99,80,418,460,500,580,675,521,65,727,2853,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,2. Entre 1946-1970,,Appart 4P+,59,66,72,79,87,72,420,482,560,650,866,619,85,454,1859,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,2. Entre 1946-1970,1. Moins de 1 an,,71,79,92,106,122,90,340,420,490,582,680,507,56,671,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,2. Entre 1946-1970,2. 1 an et plus,,63,70,79,92,105,79,352,408,466,540,628,495,63,1404,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,3. Entre 1971-1990,,,63,71,80,93,118,79,340,400,461,539,595,470,59,714,6942,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,3. Entre 1971-1990,,Appart 1P,92,108,118,150,157,120,300,325,340,370,425,352,29,161,1161,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,3. Entre 1971-1990,,Appart 2P,75,81,89,93,108,89,370,400,420,450,480,422,47,235,2384,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,3. Entre 1971-1990,,Appart 3P,63,68,74,79,85,73,427,467,499,540,620,503,69,155,1857,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,3. Entre 1971-1990,,Appart 4P+,58,62,70,73,79,68,483,510,563,595,680,576,84,163,1541,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,3. Entre 1971-1990,1. Moins de 1 an,,71,75,86,108,118,84,350,400,460,550,620,473,56,198,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,3. Entre 1971-1990,2. 1 an et plus,,61,69,78,90,128,77,339,405,462,528,595,469,61,516,,Estimation directe
B2900,2022,Agglomération de Brest,,Appartement,4. Entre 1991-2005,,,78,88,105,134,181,100,300,325,416,513,590,427,43,474,3520,Estimation directe
